ID,Learner_Proficiency,Topic,Original_Sentence,Error_Type,Corrected_Sentence,Grammar_Rule,POS_Tagged,Tokenized,Error_Position
987,Beginner,Work,He bought two breads.,Noun Form,He bought two loaves of bread.,Use correct plural form or measure word.,He/PRP bought/VBD two/CD breads/NNS ./.,He bought two breads .,0
988,Advanced,Education,He bought two breads.,Noun Form,He bought two loaves of bread.,Use correct plural form or measure word.,He/PRP bought/VBD two/CD breads/NNS ./.,He bought two breads .,0
989,Intermediate,Daily Life,The students was happy.,Subject-Verb Agreement,The students were happy.,Plural subjects require plural verbs.,The/DT students/NNS was/VBD happy/JJ ./.,The students was happy .,1
990,Beginner,Work,Me and him are friends.,Pronoun,He and I are friends.,Use subject pronouns in the subject position.,Me/NNP and/CC him/PRP are/VBP friends/NNS ./.,Me and him are friends .,1
991,Intermediate,Education,He is married with a doctor.,Preposition,He is married to a doctor.,‘Married to’ is the correct collocation.,He/PRP is/VBZ married/VBN with/IN a/DT doctor/NN ./.,He is married with a doctor .,1
992,Advanced,Education,She go to market yesterday.,Verb Tense,She went to the market yesterday.,Use past tense for actions completed in the past.,She/PRP go/VBP to/TO market/NN yesterday/NN ./.,She go to market yesterday .,3
993,Advanced,Education,The students was happy.,Subject-Verb Agreement,The students were happy.,Plural subjects require plural verbs.,The/DT students/NNS was/VBD happy/JJ ./.,The students was happy .,0
994,Intermediate,Technology,Me and him are friends.,Pronoun,He and I are friends.,Use subject pronouns in the subject position.,Me/NNP and/CC him/PRP are/VBP friends/NNS ./.,Me and him are friends .,5
995,Intermediate,Travel,Me and him are friends.,Pronoun,He and I are friends.,Use subject pronouns in the subject position.,Me/NNP and/CC him/PRP are/VBP friends/NNS ./.,Me and him are friends .,1
996,Advanced,Travel,She go to market yesterday.,Verb Tense,She went to the market yesterday.,Use past tense for actions completed in the past.,She/PRP go/VBP to/TO market/NN yesterday/NN ./.,She go to market yesterday .,2
997,Advanced,Work,He bought two breads.,Noun Form,He bought two loaves of bread.,Use correct plural form or measure word.,He/PRP bought/VBD two/CD breads/NNS ./.,He bought two breads .,2
998,Advanced,Technology,He is married with a doctor.,Preposition,He is married to a doctor.,‘Married to’ is the correct collocation.,He/PRP is/VBZ married/VBN with/IN a/DT doctor/NN ./.,He is married with a doctor .,3
999,Beginner,Sports,She go to market yesterday.,Verb Tense,She went to the market yesterday.,Use past tense for actions completed in the past.,She/PRP go/VBP to/TO market/NN yesterday/NN ./.,She go to market yesterday .,2
1000,Advanced,Sports,He bought two breads.,Noun Form,He bought two loaves of bread.,Use correct plural form or measure word.,He/PRP bought/VBD two/CD breads/NNS ./.,He bought two breads .,2
1001,Beginner,Work,Always I drink coffee in morning.,Word Order,I always drink coffee in the morning.,Adverbs of frequency go before the main verb.,Always/NNS I/PRP drink/VBP coffee/NN in/IN morning/NN ./.,Always I drink coffee in morning .,2
1002,Intermediate,Sports,I have an homework to finish.,Article,I have homework to finish.,‘Homework’ is uncountable; no article needed.,I/PRP have/VBP an/DT homework/NN to/TO finish/VB ./.,I have an homework to finish .,1
1003,Beginner,Sports,I have an homework to finish.,Article,I have homework to finish.,‘Homework’ is uncountable; no article needed.,I/PRP have/VBP an/DT homework/NN to/TO finish/VB ./.,I have an homework to finish .,6
1004,Beginner,Health,The students was happy.,Subject-Verb Agreement,The students were happy.,Plural subjects require plural verbs.,The/DT students/NNS was/VBD happy/JJ ./.,The students was happy .,4
1005,Intermediate,Travel,Always I drink coffee in morning.,Word Order,I always drink coffee in the morning.,Adverbs of frequency go before the main verb.,Always/NNS I/PRP drink/VBP coffee/NN in/IN morning/NN ./.,Always I drink coffee in morning .,4
1006,Beginner,Technology,Always I drink coffee in morning.,Word Order,I always drink coffee in the morning.,Adverbs of frequency go before the main verb.,Always/NNS I/PRP drink/VBP coffee/NN in/IN morning/NN ./.,Always I drink coffee in morning .,1
1007,Advanced,Daily Life,I have an homework to finish.,Article,I have homework to finish.,‘Homework’ is uncountable; no article needed.,I/PRP have/VBP an/DT homework/NN to/TO finish/VB ./.,I have an homework to finish .,6
1008,Intermediate,Travel,Always I drink coffee in morning.,Word Order,I always drink coffee in the morning.,Adverbs of frequency go before the main verb.,Always/NNS I/PRP drink/VBP coffee/NN in/IN morning/NN ./.,Always I drink coffee in morning .,0
1009,Advanced,Technology,He bought two breads.,Noun Form,He bought two loaves of bread.,Use correct plural form or measure word.,He/PRP bought/VBD two/CD breads/NNS ./.,He bought two breads .,4
1010,Intermediate,Sports,Always I drink coffee in morning.,Word Order,I always drink coffee in the morning.,Adverbs of frequency go before the main verb.,Always/NNS I/PRP drink/VBP coffee/NN in/IN morning/NN ./.,Always I drink coffee in morning .,0
1011,Beginner,Work,Me and him are friends.,Pronoun,He and I are friends.,Use subject pronouns in the subject position.,Me/NNP and/CC him/PRP are/VBP friends/NNS ./.,Me and him are friends .,5
1012,Beginner,Sports,I have an homework to finish.,Article,I have homework to finish.,‘Homework’ is uncountable; no article needed.,I/PRP have/VBP an/DT homework/NN to/TO finish/VB ./.,I have an homework to finish .,1
1013,Intermediate,Health,He bought two breads.,Noun Form,He bought two loaves of bread.,Use correct plural form or measure word.,He/PRP bought/VBD two/CD breads/NNS ./.,He bought two breads .,4
1014,Beginner,Health,The students was happy.,Subject-Verb Agreement,The students were happy.,Plural subjects require plural verbs.,The/DT students/NNS was/VBD happy/JJ ./.,The students was happy .,3
1015,Beginner,Daily Life,He is married with a doctor.,Preposition,He is married to a doctor.,‘Married to’ is the correct collocation.,He/PRP is/VBZ married/VBN with/IN a/DT doctor/NN ./.,He is married with a doctor .,6
1016,Advanced,Work,The students was happy.,Subject-Verb Agreement,The students were happy.,Plural subjects require plural verbs.,The/DT students/NNS was/VBD happy/JJ ./.,The students was happy .,4
1017,Advanced,Health,The students was happy.,Subject-Verb Agreement,The students were happy.,Plural subjects require plural verbs.,The/DT students/NNS was/VBD happy/JJ ./.,The students was happy .,1
1018,Beginner,Travel,He is married with a doctor.,Preposition,He is married to a doctor.,‘Married to’ is the correct collocation.,He/PRP is/VBZ married/VBN with/IN a/DT doctor/NN ./.,He is married with a doctor .,2
1019,Intermediate,Technology,I have an homework to finish.,Article,I have homework to finish.,‘Homework’ is uncountable; no article needed.,I/PRP have/VBP an/DT homework/NN to/TO finish/VB ./.,I have an homework to finish .,5
1020,Intermediate,Daily Life,Always I drink coffee in morning.,Word Order,I always drink coffee in the morning.,Adverbs of frequency go before the main verb.,Always/NNS I/PRP drink/VBP coffee/NN in/IN morning/NN ./.,Always I drink coffee in morning .,2
1021,Beginner,Education,He bought two breads.,Noun Form,He bought two loaves of bread.,Use correct plural form or measure word.,He/PRP bought/VBD two/CD breads/NNS ./.,He bought two breads .,4
1022,Advanced,Work,The students was happy.,Subject-Verb Agreement,The students were happy.,Plural subjects require plural verbs.,The/DT students/NNS was/VBD happy/JJ ./.,The students was happy .,3
1023,Intermediate,Daily Life,Me and him are friends.,Pronoun,He and I are friends.,Use subject pronouns in the subject position.,Me/NNP and/CC him/PRP are/VBP friends/NNS ./.,Me and him are friends .,0
1024,Advanced,Work,She go to market yesterday.,Verb Tense,She went to the market yesterday.,Use past tense for actions completed in the past.,She/PRP go/VBP to/TO market/NN yesterday/NN ./.,She go to market yesterday .,1
1025,Beginner,Work,He is married with a doctor.,Preposition,He is married to a doctor.,‘Married to’ is the correct collocation.,He/PRP is/VBZ married/VBN with/IN a/DT doctor/NN ./.,He is married with a doctor .,2
1026,Advanced,Sports,Me and him are friends.,Pronoun,He and I are friends.,Use subject pronouns in the subject position.,Me/NNP and/CC him/PRP are/VBP friends/NNS ./.,Me and him are friends .,0
1027,Beginner,Daily Life,I have an homework to finish.,Article,I have homework to finish.,‘Homework’ is uncountable; no article needed.,I/PRP have/VBP an/DT homework/NN to/TO finish/VB ./.,I have an homework to finish .,3
1028,Advanced,Education,He is married with a doctor.,Preposition,He is married to a doctor.,‘Married to’ is the correct collocation.,He/PRP is/VBZ married/VBN with/IN a/DT doctor/NN ./.,He is married with a doctor .,6
1029,Advanced,Sports,Always I drink coffee in morning.,Word Order,I always drink coffee in the morning.,Adverbs of frequency go before the main verb.,Always/NNS I/PRP drink/VBP coffee/NN in/IN morning/NN ./.,Always I drink coffee in morning .,1
1030,Beginner,Technology,Always I drink coffee in morning.,Word Order,I always drink coffee in the morning.,Adverbs of frequency go before the main verb.,Always/NNS I/PRP drink/VBP coffee/NN in/IN morning/NN ./.,Always I drink coffee in morning .,6
1031,Intermediate,Technology,He bought two breads.,Noun Form,He bought two loaves of bread.,Use correct plural form or measure word.,He/PRP bought/VBD two/CD breads/NNS ./.,He bought two breads .,3
1032,Intermediate,Daily Life,He bought two breads.,Noun Form,He bought two loaves of bread.,Use correct plural form or measure word.,He/PRP bought/VBD two/CD breads/NNS ./.,He bought two breads .,2
1033,Intermediate,Education,I have an homework to finish.,Article,I have homework to finish.,‘Homework’ is uncountable; no article needed.,I/PRP have/VBP an/DT homework/NN to/TO finish/VB ./.,I have an homework to finish .,1
1034,Beginner,Education,Always I drink coffee in morning.,Word Order,I always drink coffee in the morning.,Adverbs of frequency go before the main verb.,Always/NNS I/PRP drink/VBP coffee/NN in/IN morning/NN ./.,Always I drink coffee in morning .,1
1035,Intermediate,Health,Me and him are friends.,Pronoun,He and I are friends.,Use subject pronouns in the subject position.,Me/NNP and/CC him/PRP are/VBP friends/NNS ./.,Me and him are friends .,3
1036,Intermediate,Education,Always I drink coffee in morning.,Word Order,I always drink coffee in the morning.,Adverbs of frequency go before the main verb.,Always/NNS I/PRP drink/VBP coffee/NN in/IN morning/NN ./.,Always I drink coffee in morning .,2
1037,Intermediate,Technology,Me and him are friends.,Pronoun,He and I are friends.,Use subject pronouns in the subject position.,Me/NNP and/CC him/PRP are/VBP friends/NNS ./.,Me and him are friends .,5
1038,Beginner,Travel,She go to market yesterday.,Verb Tense,She went to the market yesterday.,Use past tense for actions completed in the past.,She/PRP go/VBP to/TO market/NN yesterday/NN ./.,She go to market yesterday .,5
1039,Advanced,Work,Always I drink coffee in morning.,Word Order,I always drink coffee in the morning.,Adverbs of frequency go before the main verb.,Always/NNS I/PRP drink/VBP coffee/NN in/IN morning/NN ./.,Always I drink coffee in morning .,3
1040,Advanced,Education,He bought two breads.,Noun Form,He bought two loaves of bread.,Use correct plural form or measure word.,He/PRP bought/VBD two/CD breads/NNS ./.,He bought two breads .,1
1041,Advanced,Sports,He bought two breads.,Noun Form,He bought two loaves of bread.,Use correct plural form or measure word.,He/PRP bought/VBD two/CD breads/NNS ./.,He bought two breads .,2
1042,Advanced,Health,Me and him are friends.,Pronoun,He and I are friends.,Use subject pronouns in the subject position.,Me/NNP and/CC him/PRP are/VBP friends/NNS ./.,Me and him are friends .,2
1043,Intermediate,Education,He bought two breads.,Noun Form,He bought two loaves of bread.,Use correct plural form or measure word.,He/PRP bought/VBD two/CD breads/NNS ./.,He bought two breads .,4
1044,Beginner,Work,She go to market yesterday.,Verb Tense,She went to the market yesterday.,Use past tense for actions completed in the past.,She/PRP go/VBP to/TO market/NN yesterday/NN ./.,She go to market yesterday .,0
1045,Intermediate,Sports,The students was happy.,Subject-Verb Agreement,The students were happy.,Plural subjects require plural verbs.,The/DT students/NNS was/VBD happy/JJ ./.,The students was happy .,2
1046,Advanced,Daily Life,He is married with a doctor.,Preposition,He is married to a doctor.,‘Married to’ is the correct collocation.,He/PRP is/VBZ married/VBN with/IN a/DT doctor/NN ./.,He is married with a doctor .,5
1047,Beginner,Technology,He bought two breads.,Noun Form,He bought two loaves of bread.,Use correct plural form or measure word.,He/PRP bought/VBD two/CD breads/NNS ./.,He bought two breads .,0
1048,Beginner,Travel,I have an homework to finish.,Article,I have homework to finish.,‘Homework’ is uncountable; no article needed.,I/PRP have/VBP an/DT homework/NN to/TO finish/VB ./.,I have an homework to finish .,2
1049,Advanced,Education,She go to market yesterday.,Verb Tense,She went to the market yesterday.,Use past tense for actions completed in the past.,She/PRP go/VBP to/TO market/NN yesterday/NN ./.,She go to market yesterday .,3
